number,miner,size,timestamp,totalDifficulty,baseFeePerGas,difficulty,gasLimit,gasUsed
13692119,0x829BD824B016326A401d083B33D092293333A830,20634,1637962121,35278093775296966015039,137509327947,10623131415231484,29912200,4152318
13692118,0xc365c3315cF926351CcAf13fA7D19c8C4058C8E1,70540,1637962109,35278083152165550783555,133286623399,10622993976278012,29941354,18765011
13692117,0x45a36a8e118C37e4c47eF4Ab827A7C9e579E11E2,14706,1637962088,35278072529171574505543,147265758700,10628046012916784,29970621,3605520
13692116,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,126111,1637962034,35278061901125561588759,130915655601,10653919118686667,29999916,29986759
13692115,0x6EBaF477F83E055589C1188bCC6DDCCD8C9B131a,78603,1637962017,35278051247206442902092,127449683869,10653781679733195,29970649,18245510
13692114,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,33964,1637962010,35278040593424763168897,135966350996,10648444804839860,29999944,7483420
13692113,0xbCC817f057950b0df41206C5D7125E6225Cae18e,154207,1637961992,35278029944979958329037,120861404530,10653509274711930,29970677,29967969
13692112,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,70309,1637961962,35278019291470683617107,118915699091,10663785688970342,29999972,16963431
13692111,0x8F03f1a3f10c05E7CCcF75C1Fd10168e06659Be7,40225,1637961940,35278008627684994646765,128615292656,10668857653167830,29970705,5944323
13692110,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,137783,1637961904,35277997958827341478935,114336704856,10684371148513938,30000000,29985831
13692109,0x52bc44d5378309EE2abF1539BF71dE1b7d7bE3b5,134386,1637961855,35277987274456192964997,101647922669,10705142190401090,30000000,29979685
13692108,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,54537,1637961842,35277976569314002563907,102946145627,10705004751447618,30000000,13486716
13692107,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,76806,1637961827,35277965864309251116289,102846015604,10704867312494146,30000000,15116831
13692106,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,54647,1637961823,35277955159441938622143,103064900722,10699505505618009,29999858,14745079
13692105,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,30987,1637961813,35277944459936433004134,112142107375,10699368066664537,29970591,5281563
13692104,0x829BD824B016326A401d083B33D092293333A830,83933,1637961804,35277933760568366339597,111534095200,10699230627711065,29941353,15623560
13692103,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,150176,1637961776,35277923061337738628532,99142373596,10704319907462408,29970620,29969320
13692102,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,534,1637961775,35277912357017831166124,113305569823,10698958367743437,29999915,0
13692101,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,28287,1637961772,35277901658059463422687,122312372266,10693599444686115,29970648,6157445
13692100,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,88747,1637961764,35277890964460018736572,125310012606,10688243137013399,29941410,12105696
13692099,0x829BD824B016326A401d083B33D092293333A830,140784,1637961751,35277880276216881723173,111402781030,10688105698059927,29912200,29892743
13692098,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,7377,1637961735,35277869588111183663246,124963018097,10687968259106455,29912200,1972530
13692097,0xab3B229eB4BcFF881275E7EA2F0FD24eeaC8C83a,47005,1637961731,35277858900142924556791,132581489982,10682614699694148,29941353,8088649
13692096,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,143530,1637961693,35277848217528224862643,117857499682,10698148376526601,29970620,29962282
13692095,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,102232,1637961670,35277837519379848336042,118414701352,10703237127576828,29941382,14407133
13692094,0x829BD824B016326A401d083B33D092293333A830,137558,1637961634,35277826816142720759214,105264593802,10718801057359720,29970649,29961575
13692093,0x3EcEf08D0e2DaD803847E052249bb4F8bFf2D5bB,74236,1637961618,35277816097341663399494,101812432366,10718663618406248,29999944,19068813
13692092,0x829BD824B016326A401d083B33D092293333A830,43769,1637961607,35277805378678044993246,107455079859,10718526179452776,29970677,8690095
13692091,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,127136,1637961594,35277794660151865540470,95524932802,10718388740499304,29999972,29986820
13692090,0x829BD824B016326A401d083B33D092293333A830,15879,1637961591,35277783941763125041166,105544757305,10713020334585586,29970705,3604353
13692089,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,74330,1637961580,35277773228742790455580,104460845458,10712882895632114,30000000,16245150
13692088,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,39464,1637961572,35277762515859894823466,110868354508,10707517176807155,30000000,8064738
13692087,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,71537,1637961556,35277751808342718016311,109557991814,10707379737853683,29999858,16435176
13692086,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,27855,1637961545,35277741100962980162628,116876692962,10707242298900211,29970591,7478382
13692085,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,126725,1637961532,35277730393720681262417,105848348143,10707104859946739,29941353,27449040
13692084,0xab3B229eB4BcFF881275E7EA2F0FD24eeaC8C83a,28909,1637961526,35277719686615821315678,111436361324,10696521599119129,29912143,8956254
13692083,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,46629,1637961515,35277708990094222196549,117724002848,10696384160165657,29941381,8574011
13692082,0x6EBaF477F83E055589C1188bCC6DDCCD8C9B131a,110400,1637961495,35277698293710062030892,111252290412,10701472049361287,29912171,21916228
13692081,0x829BD824B016326A401d083B33D092293333A830,36227,1637961483,35277687592238012669605,119633921701,10701334610407815,29941409,6579845
13692080,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,164854,1637961468,35277676890903402261790,115158332762,10701197171454343,29970676,19644538
13692079,0xab3B229eB4BcFF881275E7EA2F0FD24eeaC8C83a,48868,1637961456,35277666189706230807447,119757950110,10701059732500871,29941438,10370802
13692078,0x829BD824B016326A401d083B33D092293333A830,9997,1637961450,35277655488646498306576,133830715217,10695699783887298,29970705,2379257
13692077,0x52bc44d5378309EE2abF1539BF71dE1b7d7bE3b5,105958,1637961434,35277644792946714419278,126957264772,10695562344933826,30000000,21496785
13692076,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,143944,1637961402,35277634097384369485452,112863954109,10705879866787762,30000000,29984388
13692075,0x45a36a8e118C37e4c47eF4Ab827A7C9e579E11E2,29836,1637961388,35277623391504502697690,122063943525,10705742427834290,29999943,5955559
13692074,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,100801,1637961372,35277612685762074863400,120555052574,10705604988880818,30029267,16518042
13692073,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,60399,1637961365,35277601980157085982582,131611055056,10695023191342052,29999972,4919381
13692072,0x6EBaF477F83E055589C1188bCC6DDCCD8C9B131a,126600,1637961347,35277591285133894640530,119508889074,10700110415677485,29970705,27125384
13692071,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,23099,1637961339,35277580585023478963045,131099370189,10694750930371293,30000000,4390813
13692070,0x52bc44d5378309EE2abF1539BF71dE1b7d7bE3b5,146176,1637961313,35277569890272548591752,116550869155,10699838021701855,29999915,29978954
13692069,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,44027,1637961299,35277559190434526889897,124212313370,10694478669335622,29970648,7590938
13692068,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,28513,1637961294,35277548495955857554275,134049586495,10689121932563516,29941410,6181664
13692067,0x829BD824B016326A401d083B33D092293333A830,134688,1637961283,35277537806833924990759,120803306928,10688984493610044,29912200,28075786
13692066,0x7777788200B672A42421017F65EDE4Fc759564C8,13503,1637961279,35277527117849431380715,134458014065,10683630438231655,29941382,2808060
13692065,0x4069e799Da927C06b430e247b2ee16C03e8B837d,91972,1637961249,35277516434218993149060,131069566264,10693936296442677,29912172,18049278
13692064,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,22613,1637961244,35277505740282696706383,142915845286,10688579824371836,29941410,5043344
13692063,0xCD458d7F11023556cC9058F729831a038Cb8Df9c,89689,1637961225,35277495051702872334547,141252544185,10693663900995021,29912200,16365009
13692062,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,194180,1637961172,35277484358038971339526,125572522311,10714453128307773,29912200,29896437
13692061,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,66433,1637961153,35277473643585843031753,127613358984,10719549844551836,29912143,13042610
13692060,0x829BD824B016326A401d083B33D092293333A830,13325,1637961147,35277462924035998479917,141832041609,10714180871969473,29882962,2958396
13692059,0x6EBaF477F83E055589C1188bCC6DDCCD8C9B131a,140372,1637961132,35277452209855126510444,126082197471,10714043433016001,29853809,29843929
13692058,0xc365c3315cF926351CcAf13fA7D19c8C4058C8E1,156994,1637961077,35277441495811693494443,112088524019,10740127007263854,29882990,29864443
13692057,0x829BD824B016326A401d083B33D092293333A830,28775,1637961070,35277430755684686230589,122182861684,10734747992142344,29912200,5071118
13692056,0x829BD824B016326A401d083B33D092293333A830,83723,1637961042,35277420020936694088245,122571165280,10739854622828925,29941353,14591261
13692055,0x829BD824B016326A401d083B33D092293333A830,134047,1637961011,35277409281082071259320,109543329145,10750215441142193,29970620,29242767
13692054,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,139282,1637960922,35277398530866630117127,97378332824,10792235170824753,29999915,29990924
13692053,0x829BD824B016326A401d083B33D092293333A830,58004,1637960900,35277387738631459292374,100344712169,10797369885135507,29970648,11441368
13692052,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,121314,1637960898,35277376941261574156867,91296592222,10791962933031141,29999943,26892773
13692051,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,23291,1637960895,35277366149298641125726,98678921102,10786558619751619,29970676,6016720
13692050,0xCD458d7F11023556cC9058F729831a038Cb8Df9c,94711,1637960890,35277355362740021374107,96154191152,10781156944009081,29941438,18115420
13692049,0xc365c3315cF926351CcAf13fA7D19c8C4058C8E1,37587,1637960876,35277344581583077365026,85479130938,10781019505055609,29970705,29956916
13692048,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,124903,1637960824,35277333800563572309417,75981824004,10801979682669849,30000000,29999335
13692047,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,32071,1637960818,35277322998583889639568,77281034763,10796570480786306,30000000,12982619
13692046,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,47781,1637960816,35277312202013408853262,79357395850,10791163918825595,29999887,11860193
13692045,0x829BD824B016326A401d083B33D092293333A830,122392,1637960799,35277301410849490027667,70550600824,10791026479872123,29970620,29950178
13692044,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,79131,1637960789,35277290619823010155544,69128885183,10790889040918651,29999915,17467889
13692043,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,21307,1637960786,35277279828933969236893,76271728244,10785485251744601,29970648,3758326
13692042,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,45977,1637960784,35277269043448717492292,76936748172,10780084099851749,29941410,13935484
13692041,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,15078,1637960781,35277258263364617640543,86260039413,10774685583952988,29912200,2024033
13692040,0x829BD824B016326A401d083B33D092293333A830,54597,1637960780,35277247488679033687555,91046422373,10769289702761840,29941438,8674538
13692039,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,54844,1637960770,35277236719389330925715,94409639526,10769152263808368,29970705,10714687
13692038,0x829BD824B016326A401d083B33D092293333A830,127573,1637960736,35277225950237067117347,84680746218,10779541721066874,30000000,28786690
13692037,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,47451,1637960735,35277215170695346050473,83342526850,10774143469872254,30029267,16943336
13692036,0x00192Fb10dF37c9FB26829eb2CC623cd1BF599E8,31091,1637960730,35277204396551876178219,89165931798,10768747853256060,29999972,7162823
13692035,0x45a36a8e118C37e4c47eF4Ab827A7C9e579E11E2,7603,1637960726,35277193627804022922159,99974085819,10763354869932504,29970705,2024874
13692034,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,43594,1637960720,35277182864449152989655,105112645375,10757964518616427,30000000,9133654
13692033,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,111160,1637960711,35277172106484634373228,97342912648,10757827079662955,29999944,24578134
13692032,0xab3B229eB4BcFF881275E7EA2F0FD24eeaC8C83a,8215,1637960698,35277161348657554710273,109666038308,10757689640709483,29970677,1514170
13692031,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,74318,1637960687,35277150590967914000790,109956472106,10757552201756011,29999972,14683024
13692030,0xc365c3315cF926351CcAf13fA7D19c8C4058C8E1,47675,1637960669,35277139833415712244779,115394276551,10762669972750170,29970705,9336031
13692029,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,169180,1637960658,35277129070745739494609,102574497859,10762532533796698,30000000,29997621
13692028,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,154064,1637960600,35277118308213205697911,91187418110,10788734779363151,30000000,29985067
13692027,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,80768,1637960599,35277107519478426334760,88858468070,10783332041561261,29999972,18145142
13692026,0xCD458d7F11023556cC9058F729831a038Cb8Df9c,41002,1637960592,35277096736146384773499,93306466858,10777931940527454,29970705,9270436
13692025,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,14533,1637960591,35277085958214444246045,103552082485,10772534474974874,30000000,3127000
13692024,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,76253,1637960584,35277075185679969271171,104216436239,10767139643617292,30029295,14248930
13692023,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,116888,1637960579,35277064418540325653879,111173993824,10756497812269028,30000000,7490088
13692022,0xc3348B43d3881151224b490e4aa39E03d2B1cDEa,20358,1637960570,35277053662042513384851,122303773813,10756360373315556,30000000,4079866
13692021,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,115779,1637960546,35277042905682140069295,113639294859,10761477562077942,29999887,24149362
13692020,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,73866,1637960543,35277032144204577991353,119948881743,10756088126968724,29970620,8679216
13692019,0x00192Fb10dF37c9FB26829eb2CC623cd1BF599E8,30501,1637960527,35277021388116451022629,120295432306,10755950688015252,29941382,14625667
